Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
XGBoost,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.9567099567099567
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9664502164502166
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9442640692640693
